CCompJobSatis,CCompTurnIntent,CCompTransformL,CCompTransactL
0.324,-1.156,1.053,-0.027
1.247,-1.156,1.482,1.306
0.094,-1.156,0.624,0.306
0.017,0.844,-0.518,0.89
0.401,-1.156,0.624,0.806
0.247,-0.156,0.91,0.473
0.863,-1.156,1.053,0.64
0.709,-1.156,0.482,0.473
0.401,-0.906,0.624,0.64
0.94,-1.156,0.482,0.556
-0.522,-0.406,0.767,-0.36
-0.445,0.094,0.482,0.556
0.863,-0.906,1.053,0.556
1.401,-1.156,1.482,0.973
-0.445,-0.156,-0.233,-0.027
0.555,-1.156,1.196,0.14
-0.676,-1.156,-1.661,-1.027
0.478,-1.156,-0.09,0.306
0.247,-1.156,1.053,0.39
-0.214,0.094,0.196,0.64
-0.214,0.844,-0.804,-0.61
-0.599,-0.156,-0.376,-0.11
0.786,-1.156,0.053,0.223
0.401,-1.156,0.482,1.056
0.094,0.344,-0.804,-0.694
0.401,-1.156,0.624,0.973
0.478,-1.156,0.196,0.556
-0.906,1.094,-0.804,-1.11
-0.522,0.094,-1.804,-0.944
1.247,2.844,0.339,-0.277
-1.06,1.344,-1.947,-1.027
0.247,-0.406,0.053,0.556
-0.83,2.844,-1.376,-0.86
-0.368,-1.156,-1.233,-0.86
0.094,-0.406,0.624,1.306
-0.599,0.094,1.053,1.056
1.324,-1.156,1.339,0.223
-0.906,2.844,-0.947,-1.194
-0.445,-1.156,-0.947,-1.444
0.632,0.344,1.196,-0.277
0.17,-1.156,-0.09,-0.777
0.401,-0.906,1.053,0.473
-0.214,0.094,-0.947,-0.194
0.478,0.094,0.053,-0.277
-0.676,1.344,-0.947,0.14
-0.137,-0.406,-0.518,-1.194
1.478,-1.156,1.482,1.056
-0.676,0.344,-0.518,-0.194
0.017,-0.656,0.196,-0.36
0.709,-0.406,-0.376,1.056
0.247,0.344,-0.518,-0.11
0.478,-1.156,0.339,0.64
-0.368,-0.656,-0.518,-0.277
-1.137,2.844,-0.947,-1.194
-0.214,-1.156,0.339,0.723
-0.291,-0.906,0.624,-0.194
0.17,-0.406,0.91,0.39
0.555,-0.406,-0.376,0.223
-0.214,0.344,-0.661,0.223
-0.368,0.094,-0.947,0.14
0.632,-1.156,-0.376,-0.194
0.247,-0.156,1.053,0.473
-0.906,-0.906,-1.518,-0.61
-0.214,-0.906,0.91,0.223
0.632,-0.156,1.482,-0.027
1.017,-1.156,1.053,1.056
0.401,-1.156,0.767,0.556
-0.214,2.594,-0.233,0.223
-0.445,2.594,-1.376,-1.694
-0.368,0.344,0.91,0.39
0.094,-0.656,-0.376,-0.027
-0.83,1.094,-0.233,0.14
0.786,-1.156,0.196,-0.36
-0.83,2.844,-1.661,-1.11
0.863,-1.156,1.339,0.89
-1.291,2.594,-1.09,-0.694
-0.368,-0.406,-0.518,-0.777
0.247,-0.906,0.339,0.14
0.324,-0.906,0.624,0.056
0.555,-0.406,0.482,0.14
0.247,-0.406,0.482,0.64
0.555,-0.406,0.767,0.306
0.247,-0.656,0.196,-0.11
-0.137,0.594,0.624,-0.027
0.786,-1.156,0.339,-0.027
0.094,1.844,-0.09,-0.194
0.017,-1.156,0.053,0.056
0.94,-0.906,0.767,0.806
-0.522,1.844,1.482,1.14
0.247,-1.156,1.053,0.64
-1.214,2.344,-1.233,-1.527
0.94,1.344,0.339,-0.194
-0.368,0.344,0.482,0.806
-0.676,0.594,-1.09,0.306
-0.06,-0.906,1.196,0.056
0.17,-0.906,-1.661,-0.694
0.555,-0.156,0.624,0.806
0.555,1.094,1.339,0.806
-1.445,2.844,-0.518,-0.027
-0.522,0.594,-1.376,-0.61
-0.676,-0.156,-0.518,-1.194
-0.445,-0.156,-1.518,0.14
-0.06,0.344,0.767,0.556
0.094,2.844,0.339,0.556
1.094,-1.156,1.196,1.223
-0.368,-1.156,-1.09,-1.527
-0.06,-1.156,0.053,0.39
0.094,0.844,0.196,0.14
-0.753,1.844,-1.233,-0.777
-0.137,-1.156,0.624,0.39
-1.368,1.094,-1.661,-0.86
0.632,-1.156,-0.804,-0.61
1.017,-1.156,1.196,0.306
0.709,-0.906,0.196,0.14
0.478,-1.156,0.196,0.14
-0.906,-0.906,-2.518,-2.11
0.555,-0.406,-0.804,-0.36
-0.137,-1.156,-1.09,-0.86
0.247,0.094,-0.233,0.64
-1.214,0.594,-0.376,-0.194
0.555,-0.656,1.196,0.64
0.478,-0.406,1.053,0.056
0.17,0.094,0.767,-0.027
-0.599,2.844,0.91,-0.36
-0.906,1.094,-1.518,-0.944
0.17,1.094,0.196,0.39
0.632,1.594,-0.233,-0.027
-0.06,-0.406,-0.947,-0.694
0.709,-0.906,1.482,0.988
0.247,-1.156,-1.804,-0.36
-0.445,-0.156,-0.804,-1.027
0.632,1.594,0.624,0.556
0.094,0.844,-0.804,-0.194
-0.906,1.344,-1.376,-0.86
0.017,-0.656,0.91,0.39
-1.445,-1.156,-1.661,-1.277
0.94,-1.156,0.91,0.723
-1.214,0.844,-1.947,-1.527
0.478,0.844,1.482,0.89
0.709,-1.156,1.196,0.473
0.247,1.094,0.196,0.056
0.017,0.094,-0.233,0.723
-0.753,-0.906,0.053,-0.86
-1.06,-1.156,-1.233,-0.527
0.555,-0.656,0.053,0.723
-0.753,1.094,-0.518,0.223
-0.522,1.844,0.339,-0.61
-1.06,2.344,-1.661,-0.277
0.786,-1.156,1.482,0.973
-0.753,1.344,-1.09,-0.527
-0.445,0.344,-1.09,-0.027
0.094,0.344,0.482,-0.027
0.478,-1.156,1.196,0.473
-1.214,2.844,-0.947,-0.444
0.017,0.094,0.053,-0.027
-0.599,0.344,0.053,0.056
0.401,-0.406,0.196,0.306
0.94,-1.156,1.482,0.556
-0.753,1.844,-1.518,-1.194
0.401,0.344,0.482,0.306
0.555,-0.156,0.053,-0.027
-1.214,1.344,-0.518,-0.444
-0.522,0.094,-0.09,-0.277
-1.83,2.344,-2.376,-1.36
0.478,-1.156,1.339,0.473
-0.137,-0.156,0.624,0.306
0.709,-0.906,1.482,0.723