Player,Team,Rec,Yds,Avg,Lg,TD,Stat Type
Conner Vernon,DUKE,85,"1,074",12.64,--,8,Receiving
DeAndre Hopkins,CLEM,82,"1,405",17.13,--,18,Receiving
Michael Campanaro,WF,79,763,9.66,--,6,Receiving
Alex Amidon,BC,78,"1,210",15.51,--,7,Receiving
Jamison Crowder,DUKE,76,"1,074",14.13,--,8,Receiving
Desmond Scott,DUKE,66,666,10.09,--,2,Receiving
Quinshad Davis,UNC,61,776,12.72,--,5,Receiving
Phillip Dorsett,MIA,58,842,14.52,--,4,Receiving
Sammy Watkins,CLEM,57,708,12.42,--,3,Receiving
Rashad Greene,FSU,57,741,13,--,6,Receiving
Erik Highsmith,UNC,54,587,10.87,--,5,Receiving
Tobais Palmer,NCST,54,781,14.46,--,6,Receiving
Stefon Diggs,MD,54,848,15.7,--,6,Receiving
Quintin Payton,NCST,51,798,15.65,--,2,Receiving
Marcus Davis,VT,51,953,18.69,--,5,Receiving
Perry Jones,UVA,49,397,8.1,--,0,Receiving
Darius Jennings,UVA,48,568,11.83,--,5,Receiving
Giovani Bernard,UNC,47,490,10.43,--,5,Receiving
Terence Davis,WF,43,544,12.65,--,2,Receiving
Bryan Underwood,NCST,43,623,14.49,--,10,Receiving
Corey Fuller,VT,43,815,18.95,--,6,Receiving
Adam Humphries,CLEM,41,280,6.83,--,1,Receiving
Brandon Ford,CLEM,40,480,12,--,8,Receiving
Eric Ebron,UNC,40,625,15.62,--,4,Receiving
Dominique Terrell,UVA,38,475,12.5,--,0,Receiving
Rodney Smith,FSU,38,524,13.79,--,3,Receiving
Rashawn Scott,MIA,35,512,14.63,--,3,Receiving
Tony Creecy,NCST,34,182,5.35,--,1,Receiving
Mario Carter,NCST,34,367,10.79,--,2,Receiving
Dyrell Roberts,VT,33,398,12.06,--,1,Receiving
Johnathan Coleman,BC,33,489,14.82,--,4,Receiving
Kenny Shaw,FSU,33,532,16.12,--,3,Receiving
Issac Blakeney,DUKE,32,290,9.06,--,1,Receiving
Shadrach Thornton,NCST,30,274,9.13,--,1,Receiving
Mike James,MIA,30,344,11.47,--,3,Receiving
Kelvin Benjamin,FSU,30,495,16.5,--,4,Receiving
E.J. Scott,UVA,29,390,13.45,--,3,Receiving
Allen Hurns,MIA,28,314,11.21,--,4,Receiving
Jake McGee,UVA,28,374,13.36,--,5,Receiving
Duke Johnson,MIA,27,221,8.19,--,1,Receiving
Greg Dent,FSU,27,355,13.15,--,2,Receiving
Sean Tapley,UNC,26,361,13.88,--,5,Receiving
Clive Walford,MIA,25,451,18.04,--,4,Receiving
Juwan Thompson,DUKE,24,128,5.33,--,2,Receiving
Charone Peake,CLEM,24,173,7.21,--,2,Receiving
Kevin Parks,UVA,24,189,7.88,--,0,Receiving
Asa Watson,NCST,24,282,11.75,--,1,Receiving
Tommy Bohanon,WF,23,208,9.04,--,5,Receiving
Sherman Ragland III,WF,23,247,10.74,--,0,Receiving
Bobby Swigert,BC,23,268,11.65,--,1,Receiving
Marcus Leak,MD,23,393,17.09,--,2,Receiving
Spiffy Evans,BC,22,252,11.45,--,1,Receiving
J.C. Coleman,VT,21,132,6.29,--,1,Receiving
David Dudeck,BC,21,155,7.38,--,1,Receiving
Chris Pantale,BC,21,189,9,--,2,Receiving
Chris Thompson,FSU,21,248,11.81,--,0,Receiving
Nick O'Leary,FSU,21,252,12,--,3,Receiving
Jaron Brown,CLEM,21,345,16.43,--,0,Receiving
Davon Johnson,MIA,21,348,16.57,--,0,Receiving
Tim Smith,UVA,20,405,20.25,--,4,Receiving
Jela Duncan,DUKE,19,89,4.68,--,0,Receiving
Josh Harris,WF,19,96,5.05,--,0,Receiving
Justus Pickett,MD,19,138,7.26,--,1,Receiving
James Wilder Jr.,FSU,19,141,7.42,--,2,Receiving
Demitri Knowles,VT,19,240,12.63,--,1,Receiving
David Reeves,DUKE,18,122,6.78,--,3,Receiving
Jeff Greene,GT,18,284,15.78,--,2,Receiving
Orwin Smith,GT,18,288,16,--,1,Receiving
Rashard Smith,NCST,18,316,17.56,--,5,Receiving
Rolandan Finch,BC,17,108,6.35,--,0,Receiving
Ryan Malleck,VT,17,174,10.24,--,0,Receiving
Kevin Dorsey,MD,17,315,18.53,--,4,Receiving
Deandre Martin,WF,16,135,8.44,--,0,Receiving
Matt Furstenburg,MD,16,206,12.88,--,2,Receiving
Robert Godhigh,GT,15,227,15.13,--,4,Receiving
Brandon Terry,WF,15,290,19.33,--,0,Receiving
Andre Ellington,CLEM,14,232,16.57,--,1,Receiving
Lonnie Pryor,FSU,13,117,9,--,0,Receiving
Jack Tabb,UNC,12,144,12,--,1,Receiving
Romar Morris,UNC,12,204,17,--,2,Receiving
Brandon Connette,DUKE,11,85,7.73,--,1,Receiving
Lovell Jackson,WF,11,90,8.18,--,0,Receiving
Randall Dunn,VT,11,133,12.09,--,3,Receiving
Josh Snead,DUKE,10,46,4.6,--,1,Receiving
Mark McNeill,UNC,10,71,7.1,--,0,Receiving
Devonta Freeman,FSU,10,86,8.6,--,0,Receiving
Logan Winkles,NCST,10,90,9,--,2,Receiving
Sam Cooper,CLEM,10,93,9.3,--,2,Receiving
Tahj Kimble,BC,10,151,15.1,--,1,Receiving
Jeremy Moore,GT,10,194,19.4,--,0,Receiving
Herb Waters,MIA,10,227,22.7,--,2,Receiving
Martavis Bryant,CLEM,10,305,30.5,--,4,Receiving
A.J. Blue,UNC,9,80,8.89,--,1,Receiving
Charlie Hegedus,NCST,9,116,12.89,--,1,Receiving
Nigel King,MD,9,125,13.89,--,1,Receiving
Colter Phillips,UVA,8,47,5.88,--,0,Receiving
James Washington,NCST,8,58,7.25,--,0,Receiving
Malcolm Lewis,MIA,8,73,9.12,--,1,Receiving
Zachary Swanson,UVA,8,88,11,--,1,Receiving
Jarred Haggins,FSU,8,108,13.5,--,0,Receiving