Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Mike Weaver,WF,52/56,21/25,0/0,10-Oct,8-Jul,6-Apr,0/1,43,115,Kicking
Blanton Creque,LOU,58/59,17/20,1-Jan,3-Mar,11-Sep,5-Apr,0/0,48,109,Kicking
Ricky Aguayo,FSU,42/44,18/21,0/0,5-May,13-Nov,2-Jan,1-Jan,51,96,Kicking
Michael Badgley,MIA,45/46,17/23,2-Feb,8-Jul,5-May,4-Feb,4-Jan,50,96,Kicking
Cole Murphy,SYR,34/35,20/27,0/0,7-Jul,4-Apr,12-Jul,4-Feb,53,94,Kicking
Austin Parker,DUKE,33/35,17/21,0/0,10-Sep,9-Jul,2-Jan,0/0,45,84,Kicking
Joey Slye,VT,37/37,15/21,0/0,6-May,8-Jun,4-Feb,3-Feb,50,82,Kicking
Colton Lichtenberg,BC,40/43,20-Dec,0/0,3-Feb,9-Aug,7-Feb,0/1,42,76,Kicking
Alex Spence,CLEM,41/43,14-Sep,0/0,5-May,4-Jan,5-Mar,0/0,46,68,Kicking
Alex Kessman,PITT,34/34,19-Nov,0/0,3-Feb,3-Jan,9-Jun,4-Feb,56,67,Kicking
Freeman Jones,UNC,37/38,14-Sep,0/0,2-Feb,5-Apr,5-Feb,2-Jan,51,64,Kicking
A.J. Mejia,UVA,37/37,12-Aug,0/0,5-May,3-Mar,0/4,0/0,38,61,Kicking
Carson Wise,NCST,35/37,12-Jun,0/0,4-Mar,7-Feb,1-Jan,0/0,48,53,Kicking
Brenton King,GT,15/16,6-May,0/0,3-Mar,1-Jan,2-Jan,0/0,42,30,Kicking
Kyle Bambard,NCST,14/15,8-Apr,0/0,3-Mar,0/2,2-Jan,0/1,41,26,Kicking
Shawn Davis,GT,19/20,4-Feb,0/0,1-Jan,2-Jan,0/1,0/0,34,25,Kicking
Greg Huegel,CLEM,14/15,4-Feb,0/0,0/0,1-Jan,3-Jan,0/0,49,20,Kicking
Brian Johnson,VT,5-May,4-Mar,0/0,1-Jan,3-Feb,0/0,0/0,30,14,Kicking
Sterling Hofrichter,SYR,1-Jan,3-Feb,0/0,1-Jan,1-Jan,0/0,0/1,38,7,Kicking
William Holmquist,DUKE,5-Apr,1-Jan,0/0,1-Jan,0/0,0/0,0/0,24,7,Kicking
Christian Groomes,CLEM,2-Feb,1-Jan,0/0,0/0,1-Jan,0/0,0/0,38,5,Kicking
Drew Costa,CLEM,2-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
Bennett Barton,GT,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0,Kicking
Tremaine Edmunds,VT,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0,0,Kicking