Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,,Year,Team,Total_Int,Total_Yds_Gained,Def_Per_Play_Avg,Total_Def_TD,Total_Tack,Total_Sack,Total_Yds_Lost,Stat_Type
BC,7,135,19.29,81t,1,27,12,39,0,0,Defense,,2018,BC,18,331,11.66,2,402,11,65,Defense
BC,3,69,23,34,0,34,18,52,2,23,Defense,,2018,CLEM,12,328,28.02,2,457,11,69,Defense
BC,2,34,17,33,0,38,11,49,1,2,Defense,,2018,DUKE,4,76,19,1,127,2,13,Defense
BC,1,0,0,0,0,43,32,75,0,0,Defense,,2018,FSU,12,125,13.04,1,352,4,20,Defense
BC,1,1,1,1,0,17,32,49,0,0,Defense,,2018,GT,11,231,19.61,2,338,7,44,Defense
BC,1,6,6,6,0,26,35,61,7,36,Defense,,2018,LOU,6,81,11.17,0,166,1,1,Defense
BC,1,6,6,6,0,7,12,19,0,0,Defense,,2018,MIA,16,230,16.92,2,440,20,138,Defense
BC,1,21,21,21,0,3,6,9,0,0,Defense,,2018,NCST,10,113,5.69,1,316,8,35,Defense
BC,1,59,59,59t,1,31,18,49,1,4,Defense,,2018,PITT,9,148,13.07,0,202,2,13,Defense
CLEM,3,95,31.67,44t,1,40,13,53,0,0,Defense,,2018,SYR,18,93,5.32,0,402,7,37,Defense
CLEM,2,25,12.5,25,0,31,30,61,2,11,Defense,,2018,UNC,7,38,7.4,0,158,0,0,Defense
CLEM,1,3,3,3,0,22,17,39,2,9,Defense,,2018,UVA,17,287,11.52,0,388,5,25,Defense
CLEM,1,19,19,19,0,8,8,16,0,0,Defense,,2018,VT,7,27,4.5,0,194,3,10,Defense
CLEM,1,24,24,24,0,27,6,33,0,0,Defense,,2018,WF,6,133,14.6,2,278,2,11,Defense
CLEM,1,27,27,27t,1,53,35,88,2,6,Defense,,,,,,,,,,,
CLEM,1,43,43,43,0,38,41,79,3,28,Defense,,,,,,,,,,,
CLEM,1,46,46,46,0,30,6,36,2,15,Defense,,,,,,,,,,,
CLEM,1,46,46,46,0,36,16,52,0,0,Defense,,,,,,,,,,,
DUKE,1,5,5,5,0,18,5,23,0,0,Defense,,,,,,,,,,,
DUKE,1,8,8,8,0,28,8,36,0,0,Defense,,,,,,,,,,,
DUKE,1,10,10,10,0,42,26,68,0,0,Defense,,,,,,,,,,,
DUKE,1,53,53,53t,1,42,17,59,2,13,Defense,,,,,,,,,,,
FSU,4,23,5.75,11,0,37,21,58,0,0,Defense,,,,,,,,,,,
FSU,2,0,0,0,0,25,4,29,2,18,Defense,,,,,,,,,,,
FSU,2,33,16.5,33,0,37,28,65,1,1,Defense,,,,,,,,,,,
FSU,1,0,0,0,0,9,5,14,0,0,Defense,,,,,,,,,,,
FSU,1,1,1,1,0,51,40,91,0,0,Defense,,,,,,,,,,,
FSU,1,5,5,5,0,46,30,76,1,1,Defense,,,,,,,,,,,
FSU,1,63,63,63t,1,15,4,19,0,0,Defense,,,,,,,,,,,
GT,2,6,3,6,0,35,20,55,0,0,Defense,,,,,,,,,,,
GT,2,19,9.5,16,1,29,18,47,4,31,Defense,,,,,,,,,,,
GT,2,84,42,42,0,40,28,68,0,0,Defense,,,,,,,,,,,
GT,1,0,0,0,0,28,19,47,1,3,Defense,,,,,,,,,,,
GT,1,0,0,0,0,18,6,24,1,7,Defense,,,,,,,,,,,
GT,1,2,2,2,0,17,20,37,1,3,Defense,,,,,,,,,,,
GT,1,25,25,25,0,9,12,21,0,0,Defense,,,,,,,,,,,
GT,1,95,95,95t,1,11,4,15,0,0,Defense,,,,,,,,,,,
GT,0,0,0,0,0,12,12,24,0,0,Defense,,,,,,,,,,,
LOU,2,28,14,25,0,33,23,56,1,1,Defense,,,,,,,,,,,
LOU,1,0,0,0,0,12,2,14,0,0,Defense,,,,,,,,,,,
LOU,1,0,0,0,0,12,6,18,0,0,Defense,,,,,,,,,,,
LOU,1,19,19,19,0,25,7,32,0,0,Defense,,,,,,,,,,,
LOU,1,34,34,34,0,22,16,38,0,0,Defense,,,,,,,,,,,
LOU,0,0,0,0,0,3,5,8,0,0,Defense,,,,,,,,,,,
MIA,3,13,4.33,13,0,25,11,36,0,0,Defense,,,,,,,,,,,
MIA,3,14,4.67,14,0,35,29,64,3,25,Defense,,,,,,,,,,,
MIA,3,46,15.33,25,0,5,12,17,0,0,Defense,,,,,,,,,,,
MIA,2,9,4.5,9,0,44,48,92,0,0,Defense,,,,,,,,,,,
MIA,2,83,41.5,83t,1,18,10,28,0,0,Defense,,,,,,,,,,,
MIA,1,3,3,3,0,35,39,74,4,27,Defense,,,,,,,,,,,
MIA,1,20,20,20,0,45,37,82,4,41,Defense,,,,,,,,,,,
MIA,1,42,42,42t,1,19,28,47,9,45,Defense,,,,,,,,,,,
NCST,3,84,28,57t,1,45,36,81,0,0,Defense,,,,,,,,,,,
NCST,2,23,11.5,23,0,34,17,51,0,0,Defense,,,,,,,,,,,
NCST,1,0,0,0,0,9,16,25,3,12,Defense,,,,,,,,,,,
NCST,1,0,0,0,0,30,9,39,0,0,Defense,,,,,,,,,,,
NCST,1,0,0,0,0,16,18,34,4,21,Defense,,,,,,,,,,,
NCST,1,1,1,1,0,24,26,50,1,2,Defense,,,,,,,,,,,
NCST,1,5,5,5,0,9,2,11,0,0,Defense,,,,,,,,,,,
NCST,0,0,0,0,0,9,16,25,0,0,Defense,,,,,,,,,,,
PITT,2,34,17,25,0,15,0,15,1,5,Defense,,,,,,,,,,,
PITT,2,79,39.5,79,0,61,29,90,0,0,Defense,,,,,,,,,,,
PITT,1,0,0,0,0,5,3,8,0,0,Defense,,,,,,,,,,,
PITT,1,0,0,0,0,13,5,18,0,0,Defense,,,,,,,,,,,
PITT,1,0,0,0,0,7,11,18,1,8,Defense,,,,,,,,,,,
PITT,1,15,15,15,0,30,13,43,0,0,Defense,,,,,,,,,,,
PITT,1,20,20,20,0,8,2,10,0,0,Defense,,,,,,,,,,,
SYR,7,47,6.71,39,0,46,14,60,0,0,Defense,,,,,,,,,,,
SYR,3,-2,-0.67,0,0,37,18,55,0,0,Defense,,,,,,,,,,,
SYR,2,3,1.5,3,0,25,6,31,0,0,Defense,,,,,,,,,,,
SYR,2,20,10,20,0,60,40,100,2,6,Defense,,,,,,,,,,,
SYR,1,0,0,0,0,12,4,16,3,21,Defense,,,,,,,,,,,
SYR,1,2,2,2,0,22,23,45,0,0,Defense,,,,,,,,,,,
SYR,1,3,3,3,0,56,30,86,2,10,Defense,,,,,,,,,,,
SYR,1,20,20,20,0,6,3,9,0,0,Defense,,,,,,,,,,,
UNC,2,0,0,0,0,34,21,55,0,0,Defense,,,,,,,,,,,
UNC,2,2,1,2,0,25,6,31,0,0,Defense,,,,,,,,,,,
UNC,1,0,0,0,0,3,1,4,0,0,Defense,,,,,,,,,,,
UNC,1,17,17,17,0,44,20,64,0,0,Defense,,,,,,,,,,,
UNC,1,19,19,19,0,3,1,4,0,0,Defense,,,,,,,,,,,
UVA,5,141,28.2,62,0,62,36,98,0,0,Defense,,,,,,,,,,,
UVA,2,19,9.5,19,0,39,23,62,2,8,Defense,,,,,,,,,,,
UVA,2,23,11.5,23,0,24,37,61,3,17,Defense,,,,,,,,,,,
UVA,2,31,15.5,31,0,39,26,65,0,0,Defense,,,,,,,,,,,
UVA,2,68,34,62,0,20,16,36,0,0,Defense,,,,,,,,,,,
UVA,1,0,0,0,0,6,7,13,0,0,Defense,,,,,,,,,,,
UVA,1,0,0,0,0,5,2,7,0,0,Defense,,,,,,,,,,,
UVA,1,2,2,2,0,2,3,5,0,0,Defense,,,,,,,,,,,
UVA,1,3,3,3,0,25,16,41,0,0,Defense,,,,,,,,,,,
VT,2,0,0,0,0,29,7,36,1,2,Defense,,,,,,,,,,,
VT,2,9,4.5,5,0,56,32,88,0,0,Defense,,,,,,,,,,,
VT,1,0,0,0,0,4,7,11,0,0,Defense,,,,,,,,,,,
VT,1,0,0,0,0,24,0,24,0,0,Defense,,,,,,,,,,,
VT,1,18,18,18,0,17,18,35,2,8,Defense,,,,,,,,,,,
WF,1,0,0,0,0,53,21,74,1,8,Defense,,,,,,,,,,,
WF,1,2,2,2,0,28,20,48,1,3,Defense,,,,,,,,,,,
WF,1,8,8,8,0,0,0,0,0,0,Defense,,,,,,,,,,,
WF,1,20,20,20t,1,25,16,41,0,0,Defense,,,,,,,,,,,
WF,1,43,43,43,0,34,18,52,0,0,Defense,,,,,,,,,,,
WF,1,60,60,60t,1,34,29,63,0,0,Defense,,,,,,,,,,,