Year,Team,Rec_Rec,Rec_Yds,Rec_Avg,Rec_Lg,Rec_TD,Def_Int,Def_Yds,Def_Avg,Def_Lg,Def_TD,Def_Solo,Def_Ast,Def_Tot,Def_Sack,Def_YdsL,Kick_PAT_Comp,Kick_PAT_Att,Kick_FG_Comp,Kick_FG_Att,Kick_0-19_Comp,Kick_0-19_Att,Kick_20-29_Comp,Kick_20-29_Att,Kick_30-39_Comp,Kick_30-39_Att,Kick_40-49_Comp,Kick_40-49_Att,Kick_50+_Comp,Kick_50+_Att,Kick_Lg,Kick_Pts,KReturn_Num,KReturn_Yds,KReturn_Avg,KReturn_FC,KReturn_Lg,KReturn_TD,Kickoff_Num,Kickoff_Yds,Kickoff_Avg,Kickoff_Lg,Kickoff_TB,Kickoff_OB,Kickoff_Ret,Kickoff_RYds,Kickoff_TD,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_Lg,Pass_Sack,Pass_Loss,Pass_Rate,PReturn_Num,PReturn_Yds,PReturn_Avg,PReturn_FC,PReturn_Lg,PReturn_TD,Rush_Att,Rush_Gain,Rush_Loss,Rush_Yds,Rush_Avg,Rush_Lg,Rush_TD,Scor_Pts,Scor_Tot,Scor_R,Scor_P,Scor_KR,Scor_PR,Scor_IR,Scor_FR,Scor_BK,Scor_BP,Scor_FGR,Scor_PAT_Comp,Scor_PAT_Att,Scor_FG_Comp,Scor_FG_Att,Scor_Conv,Scor_Saf,Punt_Punts,Punt_Yds,Punt_Avg,Punt_Lg,Punt_TB,Punt_In20,Punt_Blk,Punt_Net,Punt_Ret,Punt_RYds,Wins,Losses
2011,DUKE,306,3198,10.45,NULL,15,6,158,26.33,NULL,1,167,137,304,0,0,33,33,9,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,63,1286,20.41,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,492,315,64.02,3266,6.64,15,3.05,12,2.44,NULL,NULL,NULL,168.88,25,226,9.04,NULL,NULL,0,288,1269,54,1215,4.22,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,2104,42.08,NULL,NULL,NULL,0,NULL,NULL,NULL,3,9
2011,FSU,229,3224,14.08,NULL,23,16,189,11.81,NULL,1,345,155,500,18,129,44,44,22,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,30,795,26.5,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,383,247,64.49,3341,8.72,25,6.53,12,3.13,NULL,NULL,NULL,156,40,417,10.43,NULL,NULL,1,416,1846,326,1520,3.65,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,2681,47.04,NULL,NULL,NULL,0,NULL,NULL,NULL,9,4
2011,GT,66,1528,23.15,NULL,9,13,179,13.77,NULL,3,208,153,361,9,64,57,57,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,42,807,19.21,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163,82,50.31,1850,11.35,11,6.75,8,4.91,NULL,NULL,NULL,120.23,14,141,10.07,NULL,NULL,0,706,4341,217,4124,5.84,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,1429,39.69,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2011,LOU,242,2749,11.36,NULL,19,10,115,11.5,NULL,1,338,163,501,11,89,33,35,12,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,45,1085,24.11,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,381,243,63.78,2749,7.22,19,4.99,13,3.41,NULL,NULL,NULL,91.2,19,94,4.95,NULL,NULL,0,458,1988,392,1596,3.48,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,1726,38.36,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2011,MIA,210,2695,12.83,NULL,21,6,74,12.33,NULL,1,133,84,217,1,8,39,39,11,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,42,915,21.79,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,222,65.68,2785,8.24,21,6.21,11,3.25,NULL,NULL,NULL,279.57,11,121,11,NULL,NULL,0,382,1976,219,1757,4.6,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,2051,42.73,NULL,NULL,NULL,0,NULL,NULL,NULL,6,6
2011,NCST,277,3029,10.94,NULL,29,26,382,14.69,NULL,3,243,169,412,12,82,46,47,11,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,52,1121,21.56,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,466,291,62.45,3120,6.7,32,6.87,12,2.58,NULL,NULL,NULL,133,19,208,10.95,NULL,NULL,1,383,1597,54,1543,4.03,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,2438,37.51,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2011,PITT,259,2728,10.53,NULL,12,7,118,16.86,NULL,0,268,163,431,22,147,32,33,21,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,51,1117,21.9,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,426,263,61.74,2727,6.4,12,2.82,14,3.29,NULL,NULL,NULL,130.92,27,165,6.11,NULL,NULL,1,511,2372,522,1850,3.62,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,2554,41.19,NULL,NULL,NULL,0,NULL,NULL,NULL,6,7
2011,SYR,258,2721,10.55,NULL,23,10,95,9.5,NULL,0,203,90,293,10,67,33,34,15,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,59,1336,22.64,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,418,261,62.44,2733,6.54,23,5.5,9,2.15,NULL,NULL,NULL,265.78,12,37,3.08,NULL,NULL,0,391,1693,219,1474,3.77,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,1690,39.3,NULL,NULL,NULL,0,NULL,NULL,NULL,5,7
2011,UNC,226,3050,13.5,NULL,25,14,55,3.93,NULL,0,267,189,456,9,67,49,49,7,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,59,1365,23.14,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,249,67.3,3307,8.94,26,7.03,14,3.78,NULL,NULL,NULL,175.68,16,78,4.88,NULL,NULL,0,380,2002,104,1898,4.99,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,1999,39.2,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2011,UVA,238,2967,12.47,NULL,14,12,100,8.33,NULL,1,161,93,254,1.5,13,32,32,16,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,52,1138,21.88,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,443,255,57.56,3090,6.98,17,3.84,16,3.61,NULL,NULL,NULL,300.38,24,150,6.25,NULL,NULL,0,488,2367,255,2112,4.33,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,2442,39.39,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2011,VT,224,2985,13.33,NULL,19,15,204,13.6,NULL,0,265,247,512,16,133,45,46,18,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,47,941,20.02,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,404,243,60.15,3166,7.84,21,5.2,10,2.48,NULL,NULL,NULL,177.2,27,343,12.7,NULL,NULL,1,566,2976,344,2632,4.65,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,3
2011,WF,252,3126,12.4,NULL,22,13,241,18.54,NULL,0,205,109,314,1.5,10,39,41,17,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,61,1195,19.59,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,456,277,60.75,3294,7.22,22,4.82,8,1.75,NULL,NULL,NULL,159.37,20,148,7.4,NULL,NULL,1,368,1720,123,1597,4.34,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,2780,39.71,NULL,NULL,NULL,0,NULL,NULL,NULL,6,7
2010,BC,164,2104,12.83,NULL,12,20,313,15.65,NULL,2,315,152,467,7.5,41,24,25,22,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,54,983,18.2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,350,180,51.43,2225,6.36,13,3.71,19,5.43,NULL,NULL,NULL,80.45,25,114,4.56,NULL,NULL,0,392,1905,58,1847,4.71,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,3282,41.54,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2010,CLEM,214,2301,10.75,NULL,14,15,189,12.6,NULL,2,264,163,427,16.5,115,36,37,14,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,45,1018,22.62,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,230,56.37,2543,6.23,17,4.17,14,3.43,NULL,NULL,NULL,110.55,30,331,11.03,NULL,NULL,0,439,2077,255,1822,4.15,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,2563,42.72,NULL,NULL,NULL,0,NULL,NULL,NULL,6,7
2010,DUKE,269,3055,11.36,NULL,14,8,63,7.88,NULL,0,213,243,456,1,7,32,32,21,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,68,1419,20.87,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,488,295,60.45,3256,6.67,14,2.87,19,3.89,NULL,NULL,NULL,48.93,23,188,8.17,NULL,NULL,0,322,1478,79,1399,4.34,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,2262,41.13,NULL,NULL,NULL,0,NULL,NULL,NULL,3,9
2010,FSU,230,2756,11.98,NULL,22,15,185,12.33,NULL,1,310,141,451,4.5,26,53,53,22,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119,57,1169,20.51,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394,250,63.45,2938,7.46,24,6.09,13,3.3,NULL,NULL,NULL,116.55,32,318,9.94,NULL,NULL,1,487,2756,325,2431,4.99,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,2214,44.28,NULL,NULL,NULL,0,NULL,NULL,NULL,10,4
2010,GT,36,549,15.25,NULL,4,8,214,26.75,NULL,2,171,127,298,1,10,37,38,15,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,53,1057,19.94,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,64,38.55,1091,6.57,9,5.42,7,4.22,NULL,NULL,NULL,102.4,23,134,5.83,NULL,NULL,0,749,4522,310,4212,5.62,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,7
2010,LOU,213,2462,11.56,NULL,22,9,104,11.56,NULL,1,243,77,320,14.5,105,40,40,18,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,44,1147,26.07,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,363,217,59.78,2522,6.95,22,6.06,8,2.2,NULL,NULL,NULL,104.98,23,290,12.61,NULL,NULL,1,462,2562,252,2310,5,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,1497,40.46,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2010,MIA,213,2856,13.41,NULL,19,16,155,9.69,NULL,2,266,241,507,8,34,37,40,13,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,43,865,20.12,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,443,240,54.18,3105,7.01,21,4.74,27,6.09,NULL,NULL,NULL,69.26,34,154,4.53,NULL,NULL,1,477,2631,227,2404,5.04,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,2597,44.02,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2010,NCST,304,3526,11.6,NULL,27,9,164,18.22,NULL,2,254,191,445,14.5,105,49,50,21,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,45,855,19,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,542,319,58.86,3655,6.74,28,5.17,14,2.58,NULL,NULL,NULL,135.3,22,205,9.32,NULL,NULL,2,446,1908,279,1629,3.65,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,1233,37.36,NULL,NULL,NULL,0,NULL,NULL,NULL,9,4
2010,PITT,230,2616,11.37,NULL,16,13,126,9.69,NULL,1,264,137,401,9.5,68,30,32,18,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,51,1040,20.39,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,357,230,64.43,2616,7.33,16,4.48,11,3.08,NULL,NULL,NULL,98.9,28,344,12.29,NULL,NULL,0,467,2434,262,2172,4.65,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,2014,44.76,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2010,SYR,205,2375,11.59,NULL,19,9,211,23.44,NULL,0,300,157,457,8.5,58,41,43,14,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,48,1079,22.48,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364,205,56.32,2375,6.52,19,5.22,8,2.2,NULL,NULL,NULL,84.37,32,294,9.19,NULL,NULL,0,438,2157,316,1841,4.2,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,2806,43.84,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2010,UNC,272,3338,12.27,NULL,17,19,287,15.11,NULL,2,285,180,465,7,48,38,38,19,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,45,917,20.38,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,424,283,66.75,3432,8.09,19,4.48,9,2.12,NULL,NULL,NULL,127.15,15,128,8.53,NULL,NULL,0,350,1874,88,1786,5.1,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,1725,37.5,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2010,UVA,242,2970,12.27,NULL,16,11,165,15,NULL,0,101,109,210,3.5,29,37,37,11,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,50,1107,22.14,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,441,262,59.41,3186,7.22,20,4.54,17,3.85,NULL,NULL,NULL,299.24,20,133,6.65,NULL,NULL,0,362,1776,58,1718,4.75,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,2066,42.16,NULL,NULL,NULL,0,NULL,NULL,NULL,4,8
2010,VT,186,2759,14.83,NULL,23,23,364,15.83,NULL,2,207,96,303,0,0,53,56,21,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,50,1136,22.72,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,341,200,58.65,2850,8.36,24,7.04,5,1.47,NULL,NULL,NULL,117.75,21,261,12.43,NULL,NULL,1,559,3189,379,2810,5.03,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,2639,43.98,NULL,NULL,NULL,0,NULL,NULL,NULL,11,3
2010,WF,146,1565,10.72,NULL,8,11,113,10.27,NULL,1,170,113,283,1,6,31,31,12,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,69,1420,20.58,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,302,166,54.97,1726,5.72,9,2.98,10,3.31,NULL,NULL,NULL,156.47,14,133,9.5,NULL,NULL,0,452,2263,352,1911,4.23,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,2633,37.08,NULL,NULL,NULL,0,NULL,NULL,NULL,3,9
2009,BC,148,2099,14.18,NULL,17,15,155,10.33,NULL,1,330,185,515,8,56,39,40,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,44,932,21.18,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351,177,50.43,2431,6.93,21,5.98,18,5.13,NULL,NULL,NULL,111.23,14,171,12.21,NULL,NULL,1,414,2033,157,1876,4.53,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,3145,40.84,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2009,CLEM,209,2590,12.39,NULL,21,21,367,17.48,NULL,1,257,190,447,9.5,43,45,50,21,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,46,1094,23.78,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,390,220,56.41,2688,6.89,23,5.9,13,3.33,NULL,NULL,NULL,257.38,26,374,14.38,NULL,NULL,2,473,2691,264,2427,5.13,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,2153,39.15,NULL,NULL,NULL,0,NULL,NULL,NULL,9,5
2009,DUKE,291,3568,12.26,NULL,22,8,162,20.25,NULL,2,106,94,200,2,6,33,33,19,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,62,1375,22.18,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,308,61.6,3660,7.32,24,4.8,10,2,NULL,NULL,NULL,92.1,19,117,6.16,NULL,NULL,0,314,1055,255,800,2.55,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,2120,39.26,NULL,NULL,NULL,0,NULL,NULL,NULL,5,7
2009,FSU,286,3468,12.13,NULL,16,14,251,17.93,NULL,3,248,131,379,13,70,40,44,19,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,67,1390,20.75,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,436,296,67.89,3534,8.11,16,3.67,13,2.98,NULL,NULL,NULL,136.2,23,390,16.96,NULL,NULL,1,417,2208,265,1943,4.66,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,1790,41.63,NULL,NULL,NULL,0,NULL,NULL,NULL,7,6
2009,GT,54,1398,25.89,NULL,9,12,135,11.25,NULL,1,165,106,271,2.5,24,59,60,14,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,54,1176,21.78,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,78,46.99,1774,10.69,11,6.63,6,3.61,NULL,NULL,NULL,291.58,21,281,13.38,NULL,NULL,2,773,4446,264,4182,5.41,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,1565,42.3,NULL,NULL,NULL,0,NULL,NULL,NULL,11,3
2009,LOU,200,2387,11.94,NULL,9,10,53,5.3,NULL,1,226,116,342,6.5,51,20,23,13,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,49,1182,24.12,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362,205,56.63,2507,6.93,9,2.49,11,3.04,NULL,NULL,NULL,189.28,17,193,11.35,NULL,NULL,1,417,1840,325,1515,3.63,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,2349,40.5,NULL,NULL,NULL,0,NULL,NULL,NULL,4,8
2009,MIA,231,3164,13.7,NULL,24,9,89,9.89,NULL,1,238,144,382,2.5,19,50,50,14,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,57,1235,21.67,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,415,246,59.28,3405,8.2,25,6.02,17,4.1,NULL,NULL,NULL,112,25,223,8.92,NULL,NULL,2,401,2159,100,2059,5.13,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,2169,42.53,NULL,NULL,NULL,0,NULL,NULL,NULL,9,4
2009,NCST,229,3088,13.48,NULL,30,8,65,8.13,NULL,0,141,104,245,12,77,46,47,10,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,61,1332,21.84,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,418,248,59.33,3275,7.83,32,7.66,13,3.11,NULL,NULL,NULL,87,27,276,10.22,NULL,NULL,0,408,1811,314,1497,3.67,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,1743,37.89,NULL,NULL,NULL,0,NULL,NULL,NULL,5,7
2009,PITT,218,2724,12.5,NULL,23,15,129,8.6,NULL,1,229,122,351,15,94,46,48,23,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,49,1075,21.94,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,219,64.79,2747,8.13,23,6.8,8,2.37,NULL,NULL,NULL,152.3,22,169,7.68,NULL,NULL,0,466,2579,200,2379,5.11,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,1810,41.14,NULL,NULL,NULL,0,NULL,NULL,NULL,10,3
2009,SYR,229,2446,10.68,NULL,16,9,77,8.56,NULL,0,201,91,292,10.5,90,29,30,13,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,54,1250,23.15,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,353,229,64.87,2446,6.93,16,4.53,15,4.25,NULL,NULL,NULL,124.65,21,145,6.9,NULL,NULL,0,414,1851,288,1563,3.78,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,2538,43.76,NULL,NULL,NULL,0,NULL,NULL,NULL,4,8
2009,UNC,190,2019,10.63,NULL,13,19,508,26.74,NULL,4,277,111,388,7,64,34,35,21,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,41,844,20.59,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,366,220,60.11,2274,6.21,14,3.83,17,4.64,NULL,NULL,NULL,227.47,29,376,12.97,NULL,NULL,1,418,1949,116,1833,4.39,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,2621,40.32,NULL,NULL,NULL,0,NULL,NULL,NULL,8,5
2009,UVA,171,1773,10.37,NULL,7,12,171,14.25,NULL,2,171,88,259,7,42,23,23,17,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,63,1171,18.59,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362,189,52.21,2046,5.65,8,2.21,8,2.21,NULL,NULL,NULL,108.93,30,189,6.3,NULL,NULL,1,387,1668,407,1261,3.26,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,2647,40.11,NULL,NULL,NULL,0,NULL,NULL,NULL,3,9
2009,VT,123,2182,17.74,NULL,12,11,80,7.27,NULL,1,96,121,217,4.5,60,48,48,20,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,42,994,23.67,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,249,137,55.02,2391,9.6,14,5.62,5,2.01,NULL,NULL,NULL,123.27,33,373,11.3,NULL,NULL,2,550,3073,314,2759,5.02,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,2495,43.77,NULL,NULL,NULL,0,NULL,NULL,NULL,10,3
2009,WF,262,3116,11.89,NULL,25,9,154,17.11,NULL,1,132,52,184,1,8,40,40,12,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,49,1086,22.16,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,273,65.47,3259,7.82,26,6.24,12,2.88,NULL,NULL,NULL,154.83,13,59,4.54,NULL,NULL,0,414,1876,299,1577,3.81,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,2098,38.85,NULL,NULL,NULL,0,NULL,NULL,NULL,5,7