gender,age,tenure,jobsat,workhrs,orgsup,lifesat
0,33,39,20,4,32,23
0,57,184,20,5,33,17
0,57,305,30,4,33,22
0,34,14,30,4,58,25
1,45,119,25,4,54,20
0,34,131,12.5,6,28,14
1,44,12,5,4,51,14
0,42,266,27.5,5,48,23
1,42,80,30,4,49,18
0,42,196,30,4,40,25
1,46,30,22.5,5,50,19
0,54,48,22.5,4,44,17
0,50,268,27.5,4,58,16
0,42,119,30,4,54,25
1,45,264,30,3,64,16
1,54,72,25,6,48,18
1,50,83,22.5,4,34,19
1,45,173,22.5,4,45,17
1,54,1,27.5,6,29,10
0,41,192,20,4,21,11
1,27,60,25,5,52,17
0,26,17,30,4,54,18
0,26,32,25,4,54,15
0,19,43,17.5,3,54,13
0,34,34,30,3,60,19
1,41,36,30,6,38,25
0,61,276,30,5,51,18
0,43,153,30,4,51,16
0,37,72,25,3,50,20
0,31,84,25,4,47,17
0,22,44,15,4,26,5
0,22,11,20,2,56,14
0,40,183,27.5,4,49,19
1,35,3,30,5,59,17
1,43,204,30,5,48,16
1,40,19,15,5,34,5
0,38,125,25,3,30,15
0,48,160,20,3,45,20
0,23,84,30,4,48,19
0,22,12,22.5,3,51,19
0,23,11,22.5,5,47,20
1,20,11,30,3,44,16
0,29,50,25,4,45,15
0,32,84,17.5,3,48,16
0,24,8,30,1,45,24
0,43,76,30,5,54,25
1,50,72,30,5,46,18
0,38,72,12.5,4,37,15
1,34,81,25,5,50,14
1,36,178,25,4,47,20
1,54,49,30,5,55,18
0,37,172,25,4,42,24
1,34,52,25,3,41,11
0,30,60,22.5,3,47,10
0,51,69,27.5,4,50,23
1,29,58,17.5,4,28,16
0,33,76,30,4,51,21
1,36,115,30,3,55,23
0,31,30,12.5,4,47,10
1,50,264,12.5,4,29,14
1,52,60,15,4,30,12
1,50,168,15,4,37,10
0,44,165,7.5,4,27,12
1,45,151,25,4,60,15
1,51,90,30,3,51,24
1,32,22,27.5,6,47,16
1,36,72,25,6,48,17
0,29,86,30,4,53,18
0,44,67,10,5,52,18
0,33,45,27.5,4,34,22
1,40,144,30,6,50,8
0,49,243,25,5,55,17
1,43,4,15,3,43,14
1,43,142,25,3,51,17
1,65,240,30,5,56,23
1,49,75,25,4,50,19
1,44,271,25,5,35,10
0,47,276,25,4,42,17
1,52,144,25,6,50,20
0,46,62,10,5,38,13
1,35,90,20,4,49,15
1,37,97,30,4,49,23
0,54,60,30,5,39,18
1,60,48,20,5,36,17
0,46,41,20,4,49,18
0,60,131,30,4,53,21
0,48,66,22.5,6,31,18
1,34,49,20,3,38,19
0,39,81,25,5,53,17
0,39,222,15,4,45,12
0,34,198,30,6,48,16
1,38,78,30,6,48,23
1,21,60,30,6,37,9
0,38,147,30,4,45,23
1,48,109,10,5,36,13
1,52,82,20,6,34,20
0,49,159,22.5,5,18,18
0,28,64,12.5,4,35,6
1,34,103,15,5,24,5
0,31,73,20,5,37,9
0,43,108,22.5,4,55,18
0,59,408,30,4,58,19
1,31,36,27.5,4,48,22
1,54,47,25,4,40,21
1,50,70,5,5,39,14
1,44,180,20,6,32,10
1,55,301,30,4,58,23
0,56,174,25,4,35,13
1,39,7,15,3,46,13
1,60,303,30,5,56,21
0,42,55,30,3,51,20
0,37,73,5,5,40,11
0,48,277,30,4,64,19
1,54,188,25,5,41,19
1,55,108,20,4,52,11
1,50,319,15,3,41,20
1,49,216,30,4,45,13
1,57,374,30,5,55,20
0,31,22,17.5,4,19,10
0,53,189,25,4,27,15
1,52,240,7.5,5,55,8
0,32,20,30,5,52,18
1,59,72,27.5,5,50,22
0,44,12,22.5,4,52,20
0,48,60,30,4,50,16
1,29,132,27.5,6,40,15
1,37,96,22.5,6,41,18
0,27,20,25,4,54,17
1,38,60,15,5,36,11
1,44,36,30,3,46,10
0,48,35,5,3,28,15
0,44,99,20,6,44,8
0,31,24,30,5,51,20
1,57,426,30,5,56,21
1,55,63,5,5,14,5
0,41,36,25,3,57,18
1,27,9,20,6,33,21
0,51,120,25,4,37,17
0,55,180,27.5,5,34,17
0,29,36,30,3,39,22
0,55,420,30,4,55,21
0,51,367,25,4,53,19
0,42,75,17.5,6,48,9
1,32,26,25,4,37,17
1,43,238,20,5,25,12
0,40,72,20,3,46,12
0,38,63,15,4,26,15
0,29,24,25,4,48,19
1,27,19,25,4,57,14
1,40,93,25,4,47,19
0,30,30,15,5,43,12
0,34,1,25,4,56,10
1,59,14,25,4,61,21
1,57,366,30,5,54,20
0,38,55,30,5,45,23
1,59,397,30,3,52,11
1,56,372,30,3,50,20
1,48,40,12.5,4,22,16
0,41,24,30,5,47,19
1,40,64,30,4,49,17
1,41,176,25,4,54,21
0,28,24,7.5,4,42,14
0,51,313,22.5,5,35,14
1,59,395,20,4,41,19
0,32,4,12.5,6,47,16
0,34,62,20,4,27,16
0,46,96,20,4,36,15
0,35,6,20,5,51,18
0,43,14,27.5,4,34,19
0,51,85,30,5,55,5
0,50,240,25,4,58,23